name,ID,shirtNumber,position,substitute,type,captain,totalPass,accuratePass,totalLongBalls,accurateLongBalls,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,goalsPrevented
Paulo Gazzaniga,164343,13,G,False,home,,45.0,26.0,27.0,9.0,1.0,2.0,90.0,51.0,7.0,21.0,0.1831
Yan Couto,1002813,20,D,False,home,,52.0,44.0,3.0,3.0,,,90.0,83.0,6.8,20.0,
Eric García,876214,25,D,False,home,,52.0,47.0,4.0,3.0,,,90.0,63.0,7.5,5.0,
Daley Blind,44864,17,D,False,home,,60.0,54.0,2.0,,,,90.0,73.0,6.9,9.0,
Miguel Gutiérrez,908716,3,D,False,home,,35.0,32.0,1.0,1.0,,,90.0,51.0,7.2,6.0,
Yangel Herrera,839585,21,M,False,home,,26.0,22.0,1.0,1.0,,,90.0,53.0,7.4,9.0,
Aleix García,796047,14,M,False,home,True,31.0,28.0,1.0,1.0,,,80.0,44.0,7.0,5.0,
Viktor Tsygankov,319735,8,M,False,home,,23.0,16.0,1.0,,,,80.0,40.0,6.9,12.0,
Iván Martín,973699,23,M,False,home,,27.0,23.0,1.0,1.0,,,70.0,32.0,6.8,4.0,
Sávio,1046795,16,M,False,home,,23.0,19.0,2.0,2.0,,,90.0,52.0,7.1,18.0,
Portu,218616,24,F,False,home,,6.0,6.0,,,,,70.0,11.0,6.6,1.0,
Pablo Torre,1082981,18,M,True,home,,5.0,5.0,,,,,20.0,7.0,6.6,1.0,
Cristhian Stuani,32048,7,F,True,home,,4.0,2.0,,,,,20.0,11.0,6.7,4.0,
Valery Fernández,962378,11,D,True,home,,3.0,2.0,,,,,10.0,8.0,6.7,3.0,
Jhon Solís,1106573,22,M,True,home,,11.0,10.0,,,,,10.0,14.0,6.9,1.0,
Toni Fuidias,991960,26,G,True,home,,,,,,,,,,,,
Arnau Martínez,1084081,4,D,True,home,,,,,,,,,,,,
Antal Yaakobishvili,1471513,35,D,True,home,,,,,,,,,,,,
Juanpe,129861,15,D,True,home,,,,,,,,,,,,
Borja García,129472,10,M,True,home,,,,,,,,,,,,
Ricard Artero,1134432,36,M,True,home,,,,,,,,,,,,
Álex Remiro,791773,1,G,False,away,,32.0,28.0,9.0,5.0,2.0,3.0,90.0,37.0,7.3,4.0,0.4932
Álvaro Odriozola,353250,2,D,False,away,,,,,,,,3.0,1.0,,,
Igor Zubeldia,838159,5,D,False,away,,60.0,50.0,8.0,4.0,,,90.0,66.0,7.3,10.0,
Jon Pacheco,934383,20,D,False,away,,65.0,63.0,8.0,6.0,,,90.0,74.0,7.3,5.0,
Javi Galán,825133,25,D,False,away,,32.0,27.0,2.0,,,,90.0,62.0,7.1,12.0,
Sheraldo Becker,352544,11,M,False,away,,12.0,8.0,,,,,52.0,19.0,6.5,9.0,
Beñat Turrientes,980410,22,M,False,away,,20.0,19.0,3.0,3.0,,,52.0,27.0,6.7,4.0,
Martín Zubimendi,966837,4,M,False,away,,54.0,53.0,2.0,1.0,,,90.0,66.0,6.7,5.0,
Mikel Oyarzabal,823622,10,M,False,away,True,31.0,25.0,3.0,3.0,,,89.0,45.0,6.9,12.0,
Brais Méndez,845385,23,F,False,away,,33.0,25.0,3.0,1.0,,,87.0,50.0,7.1,16.0,
André Silva,190159,21,F,False,away,,20.0,17.0,,,,,87.0,43.0,6.8,13.0,
Jon Aramburu,1116388,39,D,True,away,,33.0,28.0,4.0,1.0,,,87.0,57.0,6.9,13.0,
Mikel Merino,592010,8,M,True,away,,25.0,21.0,,,,,38.0,36.0,6.7,7.0,
Ander Barrenetxea,966862,7,F,True,away,,9.0,4.0,1.0,,,,38.0,33.0,7.4,13.0,
Jon Ander Olasagasti,1010383,16,M,True,away,,,,,,,,10.0,,6.5,,
Umar Sadiq,754710,19,F,True,away,,1.0,1.0,,,,,10.0,2.0,6.5,,
Unai Marrero,1094782,13,G,True,away,,,,,,,,,,,,
Robin Le Normand,787751,24,D,True,away,,,,,,,,,,,,
Jon Martin Vicente,1466116,36,D,True,away,,,,,,,,,,,,
Iñaki Rupérez Urtasun,1526573,41,D,True,away,,,,,,,,,,,,
Urko González,1064009,15,D,True,away,,,,,,,,,,,,
Jon Magunazelaia,1134396,28,M,True,away,,,,,,,,,,,,
Arsen Zakharyan,1066045,12,M,True,away,,,,,,,,,,,,
