name,home,away,statisticsType,period
Corner kicks,3,4,positive,ALL
Offsides,4,2,negative,ALL
Fouls,8,19,negative,ALL
Yellow cards,2,3,negative,ALL
Free kicks,18,8,positive,ALL
Throw-ins,20,17,positive,ALL
Goal kicks,11,2,positive,ALL
Corner kicks,1,0,positive,1st
Offsides,4,1,negative,1st
Yellow cards,0,2,negative,1st
Free kicks,14,3,positive,1st
Throw-ins,10,5,positive,1st
Goal kicks,4,1,positive,1st
Corner kicks,2,4,positive,2nd
Offsides,0,1,negative,2nd
Yellow cards,2,1,negative,2nd
Free kicks,4,5,positive,2nd
Throw-ins,10,12,positive,2nd
Goal kicks,7,1,positive,2nd
